1,0,2.9394168059031167,0.19091796875,184014512.0,182723744.0,5015485640867840.0,0.9590517282485962,0.959851861000061,8.045365393627435e-05,1.35155525519147e+17,1.3326786162275123e+17,1.0121885200087738e+32,0.0001649467449169606,0.00015643308870494366,1.4759005129150182e-09
1,0,2.9478484789530435,0.189453125,523235936.0,522041952.0,4.769118800576512e+16,0.9561616778373718,0.9567891359329224,8.891621109796688e-05,1.0937339003304673e+18,1.0887685058194309e+18,9.150116815044176e+33,0.00026165577583014965,0.000258309009950608,2.2920434439299697e-09
1,0,2.943856954574585,0.18994140625,380361536.0,378509760.0,2.7034998062186496e+16,0.9524520635604858,0.9530158042907715,0.00011478727537905797,5.778321181811671e+17,5.722120332152668e+17,2.9290394808965374e+33,0.0004194160574115813,0.00041868072003126144,6.0925176015302895e-09
client train,1,False,5,2,6.876160621643066
client train,1,False,5,1,6.86819314956665
client train,1,False,5,3,6.870764255523682
client train,1,False,5,0,6.876034736633301
client train,1,False,5,4,6.852933406829834
client train,1,False,5,4,6.8597540855407715
client train,1,False,5,3,6.863823890686035
client train,1,False,5,2,6.860896587371826
client train,1,False,5,1,6.869570255279541
client train,1,False,5,0,6.870847225189209
client train,1,False,5,2,6.865384101867676
client train,1,False,5,1,6.870036602020264
client train,1,False,5,0,6.867300510406494
client train,1,False,5,0,6.861453533172607
client train,1,False,5,1,6.864654064178467
client train,1,False,5,4,6.858490943908691
client train,1,False,5,2,6.857335090637207
client train,1,False,5,3,6.865781307220459
