exp,epoch,loss,accuracy,similarity,mean
1,0,2.458243560791016,0.1669034090909091,0.16836652159690857,0.16000767052173615
1,1,2.4405619382858275,0.18217329545454544,0.20198974013328552,0.21573181450366974
1,5,2.3141239643096925,0.2237215909090909,0.3340345323085785,0.4727615714073181
1,10,2.1818347215652465,0.27592329545454547,0.3249910771846771,0.42351436614990234
1,15,2.068696939945221,0.31303267045454547,0.29533037543296814,0.3743649125099182
1,20,1.9987378358840941,0.3428622159090909,0.25028666853904724,0.2859307825565338
1,25,1.9552474856376647,0.3522727272727273,0.26475685834884644,0.2914469242095947
1,30,1.9073578357696532,0.3748224431818182,0.2548848092556,0.28118661046028137
1,35,1.8869594573974608,0.37926136363636365,0.25424158573150635,0.2769811749458313
1,40,1.8542532801628113,0.38671875,0.2561764121055603,0.2895827293395996
1,45,1.8355274319648742,0.3954190340909091,0.26329055428504944,0.3027326166629791
1,50,1.8038864850997924,0.40571732954545453,0.26656436920166016,0.30079513788223267
1,55,1.778970968723297,0.41548295454545453,0.25904667377471924,0.29516535997390747
1,60,1.7537488102912904,0.42045454545454547,0.25617313385009766,0.28731971979141235
1,65,1.7436240911483765,0.4240056818181818,0.2662683427333832,0.300041526556015
1,70,1.720545506477356,0.42436079545454547,0.2541751265525818,0.2847842276096344
1,75,1.692486834526062,0.44300426136363635,0.25237610936164856,0.282029926776886
1,80,1.6840267419815063,0.4431818181818182,0.26274412870407104,0.2964150309562683
1,85,1.664171826839447,0.451171875,0.2558392882347107,0.28496041893959045
1,90,1.665015983581543,0.4465553977272727,0.24491867423057556,0.27402129769325256
1,95,1.659316611289978,0.4454900568181818,0.2604737877845764,0.2889935374259949
1,100,1.6394307494163514,0.45951704545454547,0.25463372468948364,0.28364452719688416
1,105,1.6135937333106996,0.4754971590909091,0.25189074873924255,0.2827693521976471
1,110,1.6078520894050599,0.46626420454545453,0.26529350876808167,0.3006879389286041
1,115,1.6012834191322327,0.4774502840909091,0.2550320029258728,0.2883564233779907
1,120,1.605955171585083,0.4676846590909091,0.2547823488712311,0.28776973485946655
1,125,1.573992621898651,0.4806463068181818,0.2578701972961426,0.29401662945747375
1,130,1.5754112601280212,0.4841974431818182,0.2592567503452301,0.29493477940559387
1,135,1.576792597770691,0.4817116477272727,0.2641679644584656,0.3015829920768738
1,140,1.5489012956619264,0.5005326704545454,0.2633803188800812,0.2973819375038147
1,145,1.5400255918502808,0.4934303977272727,0.26161640882492065,0.29736989736557007
1,150,1.5344171404838562,0.49662642045454547,0.2612760663032532,0.29606136679649353
1,155,1.545561969280243,0.4900568181818182,0.25392812490463257,0.2901305556297302
1,160,1.5213502407073975,0.5014204545454546,0.2574606239795685,0.2945336103439331
1,165,1.5074665307998658,0.51171875,0.25712358951568604,0.292969286441803
1,170,1.510108506679535,0.5071022727272727,0.26457276940345764,0.2977895736694336
1,175,1.497197651863098,0.5120738636363636,0.2435300648212433,0.2737237513065338
1,180,1.5124568343162537,0.5021306818181818,0.2556835114955902,0.2870374917984009
